,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
"gene_id ""PDENDC454_09115""; transcript_id """"; gbkey ""Gene""; gene ""fabG""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_09115""; ",391.9945802,1.833062803,0.488183584,3.754863672,0.000173436,0.003001388,20up
"gene_id ""PDENDC454_09405""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_09405""; ",333.0236463,1.116746943,0.230141305,4.852440311,1.22E-06,4.65E-05,20up
"gene_id ""PDENDC454_08795""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_08795""; ",40.44589508,2.99460312,0.667830892,4.484073975,7.32E-06,0.000209644,20up
"gene_id ""PDENDC454_08250""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_08250""; ",607.0935433,1.134521095,0.310215808,3.65719949,0.000254986,0.004060161,20up
"gene_id ""PDENDC454_08420""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_08420""; ",4396.611889,1.556858148,0.177107124,8.790488554,1.49E-18,7.29E-16,20up
"gene_id ""PDENDC454_08425""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_08425""; ",2606.926895,1.430131506,0.189508093,7.546545824,4.47E-14,1.05E-11,20up
"gene_id ""PDENDC454_08430""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_08430""; ",2429.331846,1.336548768,0.205726692,6.496720266,8.21E-11,1.08E-08,20up
"gene_id ""PDENDC454_08435""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_08435""; ",2574.129647,1.329793966,0.19732881,6.73897523,1.60E-11,2.52E-09,20up
"gene_id ""PDENDC454_08540""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_08540""; ",827.8790811,1.367137932,0.236690549,5.77605629,7.65E-09,5.96E-07,20up
"gene_id ""PDENDC454_08560""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_08560""; ",181.5755248,1.167345981,0.239923032,4.865501963,1.14E-06,4.48E-05,20up
"gene_id ""PDENDC454_08565""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_08565""; ",499.5304814,1.099567944,0.206008338,5.337492429,9.42E-08,5.28E-06,20up
"gene_id ""PDENDC454_07190""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_07190""; ",70.26865969,1.120700824,0.388702922,2.883180859,0.003936813,0.03838393,20up
"gene_id ""PDENDC454_07195""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_07195""; ",219.9087198,1.05403021,0.273050557,3.860201644,0.000113293,0.002081043,20up
"gene_id ""PDENDC454_07290""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_07290""; ",7618.91533,1.226298876,0.271599992,4.515091721,6.33E-06,0.000186133,20up
"gene_id ""PDENDC454_07295""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_07295""; ",1588.365222,1.55751476,0.300559172,5.182056998,2.19E-07,1.05E-05,20up
"gene_id ""PDENDC454_07300""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_07300""; ",4127.517445,1.506955911,0.263802385,5.712442328,1.11E-08,7.99E-07,20up
"gene_id ""PDENDC454_07315""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_07315""; ",55958.84694,2.113273293,0.265385714,7.963025831,1.68E-15,5.65E-13,20up
"gene_id ""PDENDC454_07320""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_07320""; ",70508.99287,1.536511832,0.336625437,4.564455511,5.01E-06,0.00015403,20up
"gene_id ""PDENDC454_07325""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_07325""; ",18097.85488,1.514925681,0.269797845,5.615039951,1.97E-08,1.29E-06,20up
"gene_id ""PDENDC454_06680""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_06680""; ",1381.01095,1.191715786,0.292145337,4.07918811,4.52E-05,0.000980679,20up
"gene_id ""PDENDC454_06685""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_06685""; ",49.75975452,1.687344282,0.429919714,3.924789274,8.68E-05,0.001644554,20up
"gene_id ""PDENDC454_06695""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_06695""; ",15.7540547,2.795431374,0.78296435,3.570317566,0.000356549,0.005390295,20up
"gene_id ""PDENDC454_06700""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_06700""; ",69.26835767,2.171798526,0.384601513,5.646879825,1.63E-08,1.11E-06,20up
"gene_id ""PDENDC454_07025""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_07025""; ",9802.408207,1.316301045,0.358091692,3.675877088,0.000237034,0.003842515,20up
"gene_id ""PDENDC454_06610""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_06610""; ",28.72544069,1.870904643,0.521711522,3.58609033,0.000335673,0.005146982,20up
"gene_id ""PDENDC454_06635""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_06635""; ",20.56655198,2.113337694,0.760044862,2.78054336,0.005426801,0.048841211,20up
"gene_id ""PDENDC454_04841""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_04841""; ",5037.037268,1.003213902,0.211108995,4.752113481,2.01E-06,7.22E-05,20up
"gene_id ""PDENDC454_04846""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_04846""; ",9566.243456,1.230226486,0.1988527,6.186621981,6.15E-10,7.04E-08,20up
"gene_id ""PDENDC454_04851""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_04851""; ",11881.15423,1.226751103,0.201896549,6.076137063,1.23E-09,1.27E-07,20up
"gene_id ""PDENDC454_05221""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_05221""; ",911.9255141,1.179400188,0.223336828,5.280813741,1.29E-07,6.92E-06,20up
"gene_id ""PDENDC454_03535""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03535""; ",258.2291594,1.197581606,0.254034258,4.714252375,2.43E-06,8.42E-05,20up
"gene_id ""PDENDC454_03595""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03595""; ",386.3779313,1.506714174,0.367812605,4.09641799,4.20E-05,0.000921732,20up
"gene_id ""PDENDC454_03600""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03600""; ",4484.514911,1.098345255,0.305391341,3.596517345,0.000322506,0.004959222,20up
"gene_id ""PDENDC454_03605""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03605""; ",476.8290888,1.310287146,0.303819192,4.312720134,1.61E-05,0.000405626,20up
"gene_id ""PDENDC454_03610""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03610""; ",6135.312651,1.202519789,0.308279711,3.900742555,9.59E-05,0.00179834,20up
"gene_id ""PDENDC454_03620""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03620""; ",2112.468106,1.1982177,0.330118215,3.629662484,0.000283792,0.004440026,20up
"gene_id ""PDENDC454_03635""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03635""; ",1263.805457,1.060144938,0.320606568,3.30668503,0.00094407,0.01209758,20up
"gene_id ""PDENDC454_03645""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03645""; ",408.1004898,1.079808263,0.360967383,2.991428908,0.002776752,0.028962167,20up
"gene_id ""PDENDC454_03650""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03650""; ",1221.342172,1.092123688,0.291174888,3.750748208,0.000176308,0.003021936,20up
"gene_id ""PDENDC454_03655""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03655""; ",1017.070656,1.317922793,0.300644818,4.383653786,1.17E-05,0.000307896,20up
"gene_id ""PDENDC454_03660""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03660""; ",358.5348072,1.239883205,0.32673062,3.794817896,0.000147752,0.002624424,20up
"gene_id ""PDENDC454_03665""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03665""; ",2750.647848,1.265701022,0.284145642,4.454409417,8.41E-06,0.00023472,20up
"gene_id ""PDENDC454_03670""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03670""; ",550.0164818,1.202131187,0.302712869,3.971192872,7.15E-05,0.001379521,20up
"gene_id ""PDENDC454_03680""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03680""; ",421.0307646,1.518518439,0.272832781,5.565747765,2.61E-08,1.60E-06,20up
"gene_id ""PDENDC454_03685""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03685""; ",2688.166271,1.656338355,0.282133708,5.870756701,4.34E-09,3.71E-07,20up
"gene_id ""PDENDC454_03690""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03690""; ",958.1388943,1.489505195,0.298005771,4.99824279,5.79E-07,2.52E-05,20up
"gene_id ""PDENDC454_03695""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03695""; ",493.4655423,1.45231386,0.334206893,4.345553278,1.39E-05,0.000357939,20up
"gene_id ""PDENDC454_03700""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03700""; ",3391.889218,1.429454638,0.300450891,4.757698112,1.96E-06,7.09E-05,20up
"gene_id ""PDENDC454_03705""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03705""; ",1351.064497,1.346375347,0.28301498,4.757258239,1.96E-06,7.09E-05,20up
"gene_id ""PDENDC454_03710""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03710""; ",1684.051478,1.418803286,0.314332609,4.513700596,6.37E-06,0.00018634,20up
"gene_id ""PDENDC454_03720""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03720""; ",376.3538545,1.350611345,0.333045223,4.055339187,5.01E-05,0.001063353,20up
"gene_id ""PDENDC454_03725""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03725""; ",868.3507869,1.422435216,0.301168674,4.723051689,2.32E-06,8.12E-05,20up
"gene_id ""PDENDC454_03730""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03730""; ",580.6708484,1.448429101,0.312901425,4.629026855,3.67E-06,0.000121072,20up
"gene_id ""PDENDC454_03735""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03735""; ",236.614242,1.395890697,0.343348686,4.065519268,4.79E-05,0.001023555,20up
"gene_id ""PDENDC454_03740""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03740""; partial ""true""; ",919.7180984,1.226155765,0.34686642,3.534950907,0.000407851,0.005997414,20up
"gene_id ""PDENDC454_03100""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03100""; ",79.25365028,1.250523354,0.290873048,4.299206686,1.71E-05,0.00042318,20up
"gene_id ""PDENDC454_03155""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_03155""; ",67.62153571,1.578033113,0.365905246,4.312682399,1.61E-05,0.000405626,20up
"gene_id ""PDENDC454_02195""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02195""; ",107.9490593,1.577958132,0.442614155,3.565087366,0.000363735,0.005471211,20up
"gene_id ""PDENDC454_02205""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02205""; ",102.5262089,1.173146536,0.402512942,2.914556064,0.003561948,0.035699079,20up
"gene_id ""PDENDC454_02230""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02230""; ",267.0298615,1.126046104,0.356275946,3.160600982,0.00157444,0.018389844,20up
"gene_id ""PDENDC454_02235""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02235""; ",286.3672263,1.042899342,0.365270229,2.855144655,0.004301723,0.041049421,20up
"gene_id ""PDENDC454_02245""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02245""; ",50.78425747,1.712664678,0.484815333,3.532612441,0.000411475,0.006034222,20up
"gene_id ""PDENDC454_02265""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02265""; ",102.3263302,1.086656576,0.364091479,2.984570189,0.00283977,0.02946907,20up
"gene_id ""PDENDC454_02300""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02300""; ",179.6987203,1.1737414,0.321660415,3.649007908,0.000263255,0.004154951,20up
"gene_id ""PDENDC454_02310""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02310""; ",194.0518593,1.145034292,0.409473199,2.79635955,0.005168187,0.047304731,20up
"gene_id ""PDENDC454_02315""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02315""; ",269.5805739,1.367705035,0.387891168,3.526002008,0.000421884,0.00617005,20up
"gene_id ""PDENDC454_02320""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02320""; ",56.79501629,1.142457552,0.391158821,2.920699958,0.00349246,0.035133495,20up
"gene_id ""PDENDC454_02330""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02330""; ",186.799878,1.278586364,0.320902168,3.984349409,6.77E-05,0.001321247,20up
"gene_id ""PDENDC454_02510""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02510""; ",150.5988651,1.658945058,0.375803762,4.414391836,1.01E-05,0.000271227,20up
"gene_id ""PDENDC454_02515""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02515""; ",160.9192609,1.611748903,0.321068754,5.019949416,5.17E-07,2.28E-05,20up
"gene_id ""PDENDC454_02520""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02520""; ",987.9387176,1.299662901,0.347824939,3.736543174,0.000186567,0.00317755,20up
"gene_id ""PDENDC454_02525""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02525""; ",477.7321686,1.346378786,0.323277425,4.164778248,3.12E-05,0.000707734,20up
"gene_id ""PDENDC454_02530""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02530""; ",469.3495202,1.045192088,0.294783969,3.545620513,0.00039169,0.005775547,20up
"gene_id ""PDENDC454_02545""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02545""; ",250.694828,1.154968327,0.23231467,4.971568637,6.64E-07,2.81E-05,20up
"gene_id ""PDENDC454_02555""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02555""; ",759.0634408,1.495809997,0.342901728,4.3622119,1.29E-05,0.000338027,20up
"gene_id ""PDENDC454_02560""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02560""; ",1777.927196,1.261810702,0.338483567,3.727834454,0.000193132,0.003258424,20up
"gene_id ""PDENDC454_02565""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02565""; ",614.4104849,1.149588691,0.335569986,3.425779235,0.000613038,0.008416767,20up
"gene_id ""PDENDC454_02570""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02570""; ",4963.482263,1.12074067,0.335382026,3.341683757,0.000832719,0.010851555,20up
"gene_id ""PDENDC454_02575""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02575""; ",744.8666793,1.246728196,0.382101143,3.262822469,0.001103086,0.013806532,20up
"gene_id ""PDENDC454_02580""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02580""; ",504.3884333,1.067995424,0.371159993,2.877452971,0.004008997,0.038875725,20up
"gene_id ""PDENDC454_02600""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02600""; ",4921.679848,1.96474335,0.34077412,5.765529817,8.14E-09,6.25E-07,20up
"gene_id ""PDENDC454_02605""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02605""; ",4304.537974,1.646853734,0.334520671,4.923025317,8.52E-07,3.37E-05,20up
"gene_id ""PDENDC454_02610""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02610""; ",247.8932522,1.213406632,0.328507194,3.693698808,0.000221016,0.003648791,20up
"gene_id ""PDENDC454_02135""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_02135""; ",59.30621858,1.575646168,0.440999123,3.572900911,0.000353048,0.005352412,20up
"gene_id ""PDENDC454_01140""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_01140""; ",72.89970659,1.049066452,0.37375978,2.806793311,0.005003734,0.046335037,20up
"gene_id ""PDENDC454_01145""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_01145""; ",163.2667077,1.312005024,0.334037585,3.927716769,8.58E-05,0.001630881,20up
"gene_id ""PDENDC454_01205""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_01205""; ",316.3877287,1.255660796,0.315858232,3.975393605,7.03E-05,0.001360271,20up
"gene_id ""PDENDC454_01210""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_01210""; ",140.933469,1.344073793,0.336128439,3.99869109,6.37E-05,0.001266389,20up
"gene_id ""PDENDC454_01215""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_01215""; ",250.5920507,1.404229915,0.294072564,4.775113655,1.80E-06,6.63E-05,20up
"gene_id ""PDENDC454_01220""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_01220""; ",65.19252395,1.01743574,0.364877448,2.788431418,0.005296396,0.047988558,20up
"gene_id ""PDENDC454_01225""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_01225""; ",170.6969386,1.368790976,0.323017684,4.237510962,2.26E-05,0.000535856,20up
"gene_id ""PDENDC454_01230""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_01230""; ",123.9207691,1.131146695,0.296710685,3.812288377,0.000137686,0.002461882,20up
"gene_id ""PDENDC454_01380""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_01380""; ",13564.13707,1.459577101,0.276497128,5.278814683,1.30E-07,6.92E-06,20up
"gene_id ""PDENDC454_01410""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_01410""; ",174.3798971,1.076477986,0.30104923,3.575753998,0.00034922,0.005309327,20up
"gene_id ""PDENDC454_01480""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_01480""; ",1002.842353,1.290100723,0.320075449,4.030614434,5.56E-05,0.001142776,20up
"gene_id ""PDENDC454_28525""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28525""; ",80.55800455,-2.291335435,0.566549443,-4.044369763,5.25E-05,0.001094425,20down
"gene_id ""PDENDC454_28305""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_28305""; ",615.1781709,-2.054167187,0.358230823,-5.734200003,9.80E-09,7.22E-07,20down
"gene_id ""PDENDC454_27995""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_27995""; ",40.03402746,-1.238472564,0.358215436,-3.457340026,0.000545536,0.00754775,20down
"gene_id ""PDENDC454_27723""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_27723""; ",45.2141287,-1.408847348,0.460687871,-3.058138573,0.002227166,0.024117918,20down
"gene_id ""PDENDC454_26748""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26748""; partial ""true""; ",1498.965786,-1.539235563,0.305865849,-5.032387792,4.84E-07,2.15E-05,20down
"gene_id ""PDENDC454_26723""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26723""; ",354.7791293,-1.664981929,0.2808635,-5.928082243,3.06E-09,2.80E-07,20down
"gene_id ""PDENDC454_26393""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26393""; ",12347.09839,-2.484368374,0.336252929,-7.388391764,1.49E-13,3.08E-11,20down
"gene_id ""PDENDC454_26398""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26398""; ",140.5547143,-1.143328374,0.411139236,-2.78087877,0.005421198,0.048841211,20down
"gene_id ""PDENDC454_26273""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26273""; ",122.959383,-2.074497923,0.488155325,-4.249667711,2.14E-05,0.000512098,20down
"gene_id ""PDENDC454_26178""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_26178""; partial ""true""; ",731.0399798,-1.665620794,0.359515904,-4.632954408,3.60E-06,0.000119761,20down
"gene_id ""PDENDC454_25853""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25853""; ",53.74990119,-3.932253453,0.778367481,-5.051924123,4.37E-07,1.98E-05,20down
"gene_id ""PDENDC454_25721""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25721""; ",62.22454559,-1.895688508,0.397021665,-4.774773455,1.80E-06,6.63E-05,20down
"gene_id ""PDENDC454_25451""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25451""; partial ""true""; ",2562.060825,-1.059193281,0.273713799,-3.869710936,0.000108964,0.002008379,20down
"gene_id ""PDENDC454_25441""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25441""; partial ""true""; ",2670.07848,-1.36406863,0.328063081,-4.157946162,3.21E-05,0.000726167,20down
"gene_id ""PDENDC454_25446""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25446""; partial ""true""; ",1673.937375,-1.247689867,0.322224213,-3.872117047,0.000107894,0.001995485,20down
"gene_id ""PDENDC454_25361""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25361""; ",87.14912723,-1.043072004,0.330098732,-3.159878855,0.001578348,0.018389844,20down
"gene_id ""PDENDC454_25134""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25134""; ",1288.291362,-1.167218957,0.29457742,-3.962350394,7.42E-05,0.001421452,20down
"gene_id ""PDENDC454_25139""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_25139""; partial ""true""; ",4094.252157,-1.253088945,0.313127984,-4.001842733,6.29E-05,0.001262181,20down
"gene_id ""PDENDC454_24859""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_24859""; partial ""true""; ",2681.654952,-1.030630267,0.273091692,-3.773934891,0.000160693,0.002807949,20down
"gene_id ""PDENDC454_24814""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_24814""; ",30.24689624,-1.403398398,0.485861957,-2.888471461,0.003871192,0.03795037,20down
"gene_id ""PDENDC454_24248""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_24248""; ",234.8163943,-1.733544496,0.336189254,-5.156454218,2.52E-07,1.19E-05,20down
"gene_id ""PDENDC454_24263""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_24263""; ",153.4769222,-1.813430731,0.453819031,-3.99593364,6.44E-05,0.001271825,20down
"gene_id ""PDENDC454_24268""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_24268""; ",214.7094979,-4.048193543,0.692110276,-5.849058572,4.94E-09,4.16E-07,20down
"gene_id ""PDENDC454_24293""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_24293""; ",60.57621468,-1.144636445,0.358622755,-3.191756323,0.001414106,0.016912705,20down
"gene_id ""PDENDC454_23676""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23676""; ",2659.84519,-1.152832675,0.34570836,-3.334697127,0.000853924,0.011101006,20down
"gene_id ""PDENDC454_23576""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23576""; ",3185.746831,-1.004106519,0.333457511,-3.011197788,0.002602193,0.027407049,20down
"gene_id ""PDENDC454_23466""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23466""; ",536.6847253,-1.031303181,0.195860086,-5.265509698,1.40E-07,7.23E-06,20down
"gene_id ""PDENDC454_23424""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23424""; ",157.6630718,-1.936351081,0.350070122,-5.53132347,3.18E-08,1.92E-06,20down
