GeneID,20XA,20XB,20XD,20VB,20VC,20VD,44XC,44XD,44XE,44VA,44VC,44VE
"gene_id ""PDENDC454_22019""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22019""; ",376,339,293,226,481,297,275,197,345,268,200,223
"gene_id ""PDENDC454_22024""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22024""; ",100,125,75,84,99,93,98,62,87,61,31,29
"gene_id ""PDENDC454_22029""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22029""; ",1817,2310,2156,1788,2672,1573,1596,1611,1799,1582,1835,1889
"gene_id ""PDENDC454_22034""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22034""; ",504,259,462,70,59,41,2763,2556,4168,1170,1605,979
"gene_id ""PDENDC454_22039""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22039""; ",244,246,249,158,233,136,58,148,156,131,121,171
"gene_id ""PDENDC454_22044""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22044""; ",32,50,36,14,32,38,42,55,36,50,34,44
"gene_id ""PDENDC454_22049""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22049""; ",203,145,226,111,207,147,128,82,130,195,129,105
"gene_id ""PDENDC454_22054""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22054""; ",50,31,48,13,61,39,12,23,31,38,18,20
"gene_id ""PDENDC454_22059""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22059""; ",28,16,28,12,15,16,10,17,33,30,18,10
"gene_id ""PDENDC454_22064""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22064""; ",476,463,500,306,523,279,520,546,881,379,316,330
"gene_id ""PDENDC454_22069""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22069""; ",1612,1370,1105,890,1658,1023,806,797,1063,738,712,772
"gene_id ""PDENDC454_22074""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22074""; ",754,777,594,474,895,639,440,431,563,465,326,395
"gene_id ""PDENDC454_22079""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22079""; ",2005,1891,1965,1099,2612,1491,1229,1133,1661,937,967,893
"gene_id ""PDENDC454_22084""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22084""; ",88,107,141,42,130,87,72,56,48,54,20,56
"gene_id ""PDENDC454_22089""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22089""; ",9881,10471,8958,5386,9435,6827,4409,4709,5986,4725,4855,4873
"gene_id ""PDENDC454_22094""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22094""; ",656,571,535,345,662,466,335,334,545,452,263,243
"gene_id ""PDENDC454_22099""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22099""; ",1789,1656,1602,997,1966,1304,820,843,1329,1149,519,589
"gene_id ""PDENDC454_22104""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22104""; ",43,41,62,33,52,25,54,81,81,75,31,36
"gene_id ""PDENDC454_21714""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21714""; ",191,124,101,65,120,116,256,197,386,426,150,136
"gene_id ""PDENDC454_21719""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21719""; ",73,38,44,45,62,42,58,49,86,55,36,66
"gene_id ""PDENDC454_21724""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21724""; ",197,141,177,88,263,96,186,170,326,173,103,158
"gene_id ""PDENDC454_21729""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21729""; ",5,5,4,2,0,11,24,45,22,24,14,11
"gene_id ""PDENDC454_21734""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21734""; ",0,6,12,1,9,4,13,8,21,4,15,17
"gene_id ""PDENDC454_21739""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21739""; ",2,4,1,3,3,0,63,55,80,38,45,75
"gene_id ""PDENDC454_21744""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21744""; ",15,6,5,7,12,5,89,55,57,56,11,78
"gene_id ""PDENDC454_21749""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21749""; ",9,2,23,0,0,0,20,20,8,5,11,27
"gene_id ""PDENDC454_21754""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21754""; ",521,516,411,396,597,432,295,250,401,301,178,215
"gene_id ""PDENDC454_21759""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21759""; ",1312,1406,1340,879,1679,1395,759,774,971,713,576,659
"gene_id ""PDENDC454_21764""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21764""; ",12,5,23,18,24,18,21,6,19,6,5,12
"gene_id ""PDENDC454_21769""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21769""; ",16,3,11,16,12,11,10,18,11,7,11,10
"gene_id ""PDENDC454_21774""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21774""; ",349,397,334,278,570,362,277,196,293,257,211,231
"gene_id ""PDENDC454_21779""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21779""; ",7845,9264,7268,7099,14642,8652,4165,4659,5586,4109,4144,3408
"gene_id ""PDENDC454_21784""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21784""; ",36,23,21,21,23,12,59,35,30,32,15,22
"gene_id ""PDENDC454_21789""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21789""; ",7,22,7,5,12,14,0,0,9,14,0,10
"gene_id ""PDENDC454_21794""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21794""; ",93,61,106,48,118,110,51,61,87,68,52,40
"gene_id ""PDENDC454_21799""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21799""; ",36,41,42,12,47,22,54,26,30,14,3,9
"gene_id ""PDENDC454_21599""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21599""; ",2,0,2,3,8,0,10,8,4,1,0,0
"gene_id ""PDENDC454_21604""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21604""; ",147,227,233,554,944,594,82,54,71,80,32,81
"gene_id ""PDENDC454_21609""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21609""; ",1,0,2,0,0,0,7,1,4,0,0,6
"gene_id ""PDENDC454_21614""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21614""; ",684,483,584,399,778,504,230,306,346,347,115,154
"gene_id ""PDENDC454_21619""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21619""; ",2546,2316,2102,1697,3647,2375,1188,1284,1875,1440,852,866
"gene_id ""PDENDC454_21624""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21624""; ",539,473,417,298,793,347,232,224,443,316,140,202
"gene_id ""PDENDC454_21629""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21629""; ",2034,2065,1622,1067,2254,1474,1048,1006,1226,1294,606,883
"gene_id ""PDENDC454_21634""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21634""; ",3208,2906,2536,1171,2188,1471,2913,3730,3191,2628,3978,3779
"gene_id ""PDENDC454_21639""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21639""; ",1122,1248,1142,516,513,402,1150,1722,1331,905,1885,1847
"gene_id ""PDENDC454_21644""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21644""; ",454,535,546,214,223,239,536,634,585,528,862,889
"gene_id ""PDENDC454_21649""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21649""; ",55,58,49,21,21,51,98,91,80,60,79,132
"gene_id ""PDENDC454_21654""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21654""; ",8,15,23,6,14,8,13,27,9,40,13,25
"gene_id ""PDENDC454_21659""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21659""; ",6,9,12,13,7,4,37,19,19,27,10,29
"gene_id ""PDENDC454_21664""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21664""; ",10,23,9,9,30,22,24,54,34,34,10,49
"gene_id ""PDENDC454_21669""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21669""; ",8,6,6,8,13,12,34,37,17,58,6,59
"gene_id ""PDENDC454_21674""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21674""; ",98,115,154,58,69,91,98,75,109,103,44,158
"gene_id ""PDENDC454_21679""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21679""; ",1435,1369,1896,1095,3030,1869,777,682,967,554,359,682
"gene_id ""PDENDC454_21684""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21684""; ",3212,2998,3902,2598,6844,3822,1404,1798,2505,1367,1168,1399
"gene_id ""PDENDC454_21689""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21689""; ",9224,10179,12166,9870,22627,12342,5494,6541,8477,4584,5076,6037
"gene_id ""PDENDC454_21694""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21694""; ",9564,9452,9703,7571,16704,9019,4040,4740,6074,3528,3753,4776
"gene_id ""PDENDC454_21699""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21699""; ",6665,6754,6976,5587,12564,6328,5667,5368,7907,4692,3585,3831
"gene_id ""PDENDC454_21704""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21704""; ",1973,2072,2575,1567,3736,2140,1373,1364,1864,1074,1128,1017
"gene_id ""PDENDC454_21709""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21709""; ",2601,2945,2957,1738,4287,2314,1408,1666,2146,1383,1271,1239
"gene_id ""PDENDC454_21529""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21529""; partial ""true""; ",1619,2242,2159,2065,4110,2224,1260,1918,1430,1139,1406,1775
"gene_id ""PDENDC454_21534""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21534""; ",61,70,86,72,203,104,56,68,36,51,78,91
"gene_id ""PDENDC454_21539""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21539""; ",47,84,71,65,131,82,44,78,43,30,74,48
"gene_id ""PDENDC454_21544""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21544""; ",90,136,178,156,454,189,133,180,102,80,173,177
"gene_id ""PDENDC454_21549""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21549""; ",360,343,411,433,1105,545,258,411,215,218,251,351
"gene_id ""PDENDC454_21554""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21554""; ",77,106,51,86,183,80,56,91,39,29,48,66
"gene_id ""PDENDC454_21559""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21559""; ",710,621,456,683,1396,608,1486,2327,1684,1591,2481,2366
"gene_id ""PDENDC454_21564""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21564""; ",451,371,422,421,839,394,990,1605,1057,991,1833,1778
"gene_id ""PDENDC454_21569""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21569""; ",709,755,624,593,1387,694,1030,1554,1408,1109,1944,1822
"gene_id ""PDENDC454_21574""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21574""; ",1056,1048,1031,985,2265,1425,1124,2082,1984,1412,2272,2144
"gene_id ""PDENDC454_21579""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21579""; ",716,622,573,707,1446,852,677,954,1229,792,890,843
"gene_id ""PDENDC454_21584""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21584""; ",89,82,72,46,124,66,91,87,180,193,75,69
"gene_id ""PDENDC454_21589""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21589""; ",67,75,42,64,58,74,97,49,111,62,58,41
"gene_id ""PDENDC454_21594""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21594""; ",126,59,64,51,106,81,60,38,78,66,27,30
"gene_id ""PDENDC454_21319""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21319""; ",1530,1720,1542,1103,1990,1535,1103,1065,931,918,707,1211
"gene_id ""PDENDC454_21324""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21324""; ",825,864,642,804,1839,1024,227,323,305,259,240,329
"gene_id ""PDENDC454_21329""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21329""; ",350,340,266,348,729,408,123,159,133,144,109,120
"gene_id ""PDENDC454_21334""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21334""; ",0,2,0,2,2,0,82,17,32,10,5,17
"gene_id ""PDENDC454_21339""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21339""; ",12,8,0,3,2,2,12,7,18,16,6,17
"gene_id ""PDENDC454_21344""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21344""; ",32,35,13,15,49,13,74,72,88,48,12,83
"gene_id ""PDENDC454_21349""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21349""; ",32,51,38,16,30,32,27,47,61,48,31,47
"gene_id ""PDENDC454_21354""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21354""; ",3,5,15,10,16,3,18,6,22,6,2,3
"gene_id ""PDENDC454_21359""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21359""; ",232,260,210,139,334,218,104,104,221,138,127,157
"gene_id ""PDENDC454_21364""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21364""; ",388,377,433,317,547,321,214,201,270,224,177,196
"gene_id ""PDENDC454_21369""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21369""; ",1180,1360,1144,884,1542,986,909,868,981,742,696,912
"gene_id ""PDENDC454_21374""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21374""; ",2000,2146,1762,1595,3114,1879,1293,1325,1708,961,1218,1525
"gene_id ""PDENDC454_21379""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21379""; ",2569,2861,2525,2411,3626,2649,1850,1786,1917,1434,1634,2028
"gene_id ""PDENDC454_21384""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21384""; ",2443,2042,1980,1187,2445,1538,931,1007,2057,1120,934,649
"gene_id ""PDENDC454_21389""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21389""; ",1450,1328,926,655,1292,848,601,725,1482,786,790,414
"gene_id ""PDENDC454_21394""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21394""; ",920,756,967,844,1398,730,334,271,473,392,171,163
"gene_id ""PDENDC454_21399""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21399""; ",1065,1045,776,598,1125,695,506,521,544,440,468,648
"gene_id ""PDENDC454_21404""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21404""; ",1031,1156,968,911,1860,962,488,604,676,491,522,641
"gene_id ""PDENDC454_21409""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21409""; ",278,378,381,371,885,437,152,169,207,160,161,164
"gene_id ""PDENDC454_21414""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21414""; ",75,46,54,24,81,51,37,48,54,48,25,15
"gene_id ""PDENDC454_21419""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21419""; ",3012,3391,2451,2171,4213,2613,1965,1929,2299,1531,1249,1660
"gene_id ""PDENDC454_21424""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21424""; ",366,331,345,196,398,255,547,529,731,337,421,320
"gene_id ""PDENDC454_21429""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21429""; ",15,13,15,9,16,11,14,18,49,38,8,22
"gene_id ""PDENDC454_21434""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21434""; ",8,17,4,16,11,3,23,18,14,24,6,48
"gene_id ""PDENDC454_21439""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21439""; ",253,199,287,166,222,201,129,79,106,105,88,133
"gene_id ""PDENDC454_21444""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21444""; ",290,312,348,192,296,196,253,135,169,199,148,194
"gene_id ""PDENDC454_21449""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21449""; ",135,178,178,84,136,89,92,138,115,84,45,117
"gene_id ""PDENDC454_21454""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21454""; ",3124,4816,3995,2428,3035,2623,1641,2224,1933,1661,2140,2105
"gene_id ""PDENDC454_21459""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21459""; ",3713,7614,5226,4381,5244,4079,2803,4432,3239,2547,4670,4238
"gene_id ""PDENDC454_21464""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21464""; ",1827,3076,2368,1735,1748,1537,950,1778,1006,834,1638,1570
"gene_id ""PDENDC454_21469""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21469""; ",1496,2853,2399,1735,1679,1685,946,1476,944,701,1452,1435
"gene_id ""PDENDC454_21474""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21474""; ",3659,5547,5855,3554,5438,4156,2720,3522,3289,2175,3132,3258
"gene_id ""PDENDC454_21479""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21479""; ",1690,2429,2442,1448,2100,1661,1235,1519,1289,998,1320,1260
"gene_id ""PDENDC454_21484""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21484""; ",558,784,803,406,621,550,371,498,325,344,321,467
"gene_id ""PDENDC454_21489""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21489""; ",86,109,75,93,114,68,119,49,49,65,23,109
"gene_id ""PDENDC454_21494""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21494""; ",157,214,170,127,256,135,151,150,192,109,72,174
"gene_id ""PDENDC454_21499""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21499""; ",8,7,20,14,10,14,36,7,50,26,12,23
"gene_id ""PDENDC454_21504""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21504""; ",11,24,15,5,14,4,78,16,31,40,27,59
"gene_id ""PDENDC454_21509""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21509""; ",452,280,258,275,361,313,333,282,464,279,69,138
"gene_id ""PDENDC454_21514""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21514""; ",117,93,127,80,208,91,90,51,146,101,38,120
"gene_id ""PDENDC454_21519""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21519""; ",635,729,584,444,997,738,376,281,418,338,160,407
"gene_id ""PDENDC454_21524""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21524""; ",382,455,362,300,639,327,244,206,328,224,179,189
"gene_id ""PDENDC454_21234""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21234""; ",39,70,50,99,115,97,109,68,88,79,82,105
"gene_id ""PDENDC454_21239""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21239""; ",1951,2009,1953,1648,2705,1866,855,960,1252,1099,929,1183
"gene_id ""PDENDC454_21244""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21244""; ",218,204,220,115,235,203,192,219,313,154,134,225
"gene_id ""PDENDC454_21249""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21249""; ",162,171,206,100,195,100,212,179,250,206,102,140
"gene_id ""PDENDC454_21254""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21254""; ",328,257,301,227,328,237,183,182,274,138,170,168
"gene_id ""PDENDC454_21259""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21259""; ",647,603,559,412,707,430,432,442,555,341,343,528
"gene_id ""PDENDC454_21264""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21264""; ",269,294,229,183,319,222,186,157,255,160,162,132
"gene_id ""PDENDC454_21269""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21269""; ",507,304,290,296,442,225,255,226,513,408,185,157
"gene_id ""PDENDC454_21274""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21274""; ",123,148,101,126,184,108,67,144,139,71,73,84
"gene_id ""PDENDC454_21279""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21279""; ",58,63,116,56,108,77,125,80,118,78,17,55
"gene_id ""PDENDC454_21284""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21284""; ",67,80,52,45,71,46,186,130,229,82,44,74
"gene_id ""PDENDC454_21289""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21289""; ",244,354,326,204,360,267,175,267,287,197,158,205
"gene_id ""PDENDC454_21294""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21294""; ",350,312,339,196,369,299,471,413,697,347,210,230
"gene_id ""PDENDC454_21299""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21299""; ",1287,1777,1534,1226,2010,1441,1020,1212,1310,825,977,1148
"gene_id ""PDENDC454_21304""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21304""; ",440,341,263,294,443,260,209,279,278,210,173,305
"gene_id ""PDENDC454_21309""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21309""; ",300,326,260,261,334,222,251,322,301,199,185,277
"gene_id ""PDENDC454_21314""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21314""; ",192,162,211,108,203,142,102,116,158,117,108,103
"gene_id ""PDENDC454_21057""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21057""; ",112,123,165,94,140,133,148,126,155,124,98,135
"gene_id ""PDENDC454_21062""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21062""; ",23,10,13,3,5,23,80,84,60,90,18,106
"gene_id ""PDENDC454_21067""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21067""; ",374,443,321,265,578,314,187,233,260,261,137,264
"gene_id ""PDENDC454_21072""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21072""; ",512,467,321,373,714,281,147,237,523,370,251,162
"gene_id ""PDENDC454_21077""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21077""; ",8902,7416,7222,5729,11543,6528,4177,4099,9450,5687,4101,2883
"gene_id ""PDENDC454_21082""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21082""; ",58,86,87,45,134,86,78,86,72,39,91,63
"gene_id ""PDENDC454_21087""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21087""; ",291,306,236,234,494,249,177,270,262,198,180,243
"gene_id ""PDENDC454_21092""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21092""; ",205,242,202,189,397,197,170,203,226,118,120,158
"gene_id ""PDENDC454_21097""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21097""; ",461,375,459,218,561,450,331,251,372,246,190,340
